what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094158384
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411094158415
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1411094167062
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094178673
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094179341
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094179662
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094188024
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411094188055
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1411094197628
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1411094201297
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411094204294
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411094217983
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411094224711
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094225992
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094227268
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094227585
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094243959
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411094243992
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094246013
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094246601
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094246956
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094247518
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094251372
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094252087
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094252668
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094253263
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094253684
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094254248
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094254708
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094255296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094256116
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094276479
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094278340
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094284319
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094296748
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094302246
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1411094308041
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094321597
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094322422
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094322742
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094331600
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411094331630
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1411094349557
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094365382
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094450939
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094451723
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094452565
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411094462194
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1411094471879
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1411094560530
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1411094561868
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094570760
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094571433
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094571775
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094582165
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411094582195
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094583729
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094594508
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094597138
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094605971
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094607306
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094608678
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1411094612811
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1411094623015
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094648762
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094649504
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094679139
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094679993
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094680325
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411094681384
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1411094682231
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1411094687030
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1411096116358
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1411096117002
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1411194487711
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1411194487711
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1411194487758
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1411194487805
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1411194487852
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1411194487898
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1411194487976
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1411194488008
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1411194488054
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1411194488070
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1411194488132
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1411194488195
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1411194488257
